"","simLabel","scenario","mp","species","stock","projObsErrMult","nGoodReps","medProbPDH_sp","pGoodReps","pBtGt.3B0","pBtGt.5B0","pBtGt.6B0","pCtGt650t","pUtGt.1HR","avgUtGt0.1HR","nYrsSOK","avgLicSOK","avgSOK_t","avgPonded_t","pondAAV","nYrsComm","avgCatch_t","catchAAV","pBtGtHistSB","pBtGt.5HistSB","growthRate6yrs","growthRate11yrs","growthRate16yrs","B0","BtMP","DtMP","BhistT","DhistT","BnT","DnT"
"1165","sim_parBatHGherringGrid37","a1M1.25_sr0.8_identM_rw15_loPondM","SR_HS30-100_HR0.1","HG Herring","C/S",1,100,0,1,0.53,0.236,0.163,NA,0,NA,0,0,0,0,0,0,0,0,0.027,0.173,0.044,0.056,0.05,6.518,2.19,0.326,1.767,0.262,3.379,0.506
"1166","sim_parBatHGherringGrid37","a1M1.25_sr0.8_identM_rw15_loPondM","SR_HS30-100_HR0.1","HG Herring","JP/S",1,100,0,1,0.371,0.111,0.064,NA,0.21,0.17,0,0,0,0,0,6.5,1211.3,119.1,0.002,0.03,0.018,0.047,0.038,32.338,7.85,0.242,7.573,0.237,11.808,0.364
"1167","sim_parBatHGherringGrid37","a1M1.25_sr0.8_identM_rw15_loPondM","SR_HS30-100_HR0.1","HG Herring","Lou",1,100,0,1,0.559,0.26,0.165,NA,0,NA,0,0,0,0,0,0,0,0,0.017,0.158,0.05,0.048,0.054,3.738,1.191,0.314,0.939,0.247,1.938,0.513
"1168","sim_parBatHGherringGrid37","a1M1.25_sr0.8_identM_rw15_loPondM","SR_HS30-100_HR0.1","HG Herring","aggregate",1,100,0,1,0.47,0.114,0.059,0.26,0.139,0.14,0,0,0,0,0,6.5,1211.3,119.1,0.001,0.024,0.036,0.043,0.037,42.593,11.231,0.262,10.279,0.241,17.125,0.401
"1169","sim_parBatHGherringGrid38","a1M1.25_sr0.8_identM_rw15_loPondM","cSOK+SR_HS30-100_HR0.1","HG Herring","C/S",1,100,0,1,0.525,0.233,0.159,NA,0,NA,4.5,1,7.3,105.8,101.3,0,0,0,0.026,0.171,0.042,0.056,0.05,6.518,2.19,0.326,1.767,0.262,3.344,0.501
"1170","sim_parBatHGherringGrid38","a1M1.25_sr0.8_identM_rw15_loPondM","cSOK+SR_HS30-100_HR0.1","HG Herring","JP/S",1,100,0,1,0.405,0.122,0.068,NA,0.105,0.16,9,6.4,46.5,675.9,94,2,1211.1,131.5,0.002,0.034,0.027,0.054,0.041,32.338,8.229,0.254,7.573,0.237,12.315,0.38
"1171","sim_parBatHGherringGrid38","a1M1.25_sr0.8_identM_rw15_loPondM","cSOK+SR_HS30-100_HR0.1","HG Herring","Lou",1,100,0,1,0.552,0.251,0.155,NA,0,NA,4,1,7.3,106.2,102.1,0,0,0,0.016,0.153,0.048,0.048,0.052,3.738,1.191,0.314,0.939,0.247,1.902,0.503
"1172","sim_parBatHGherringGrid38","a1M1.25_sr0.8_identM_rw15_loPondM","cSOK+SR_HS30-100_HR0.1","HG Herring","aggregate",1,100,0,1,0.498,0.121,0.061,0.15,0.071,0.15,12,5.4,39.2,570.3,82.1,2,1211.1,131.5,0.001,0.027,0.042,0.046,0.039,42.593,11.611,0.271,10.279,0.241,17.562,0.411
"1173","sim_parBatHGherringGrid39","a1M1.25_sr0.8_identM_rw15_loPondM","oSOK_HS30-100_HR0.1","HG Herring","C/S",1,100,0,1,0.529,0.235,0.162,NA,0,NA,7,1,7.3,106,86.6,0,0,0,0.027,0.172,0.043,0.056,0.05,6.518,2.19,0.326,1.767,0.262,3.366,0.504
"1174","sim_parBatHGherringGrid39","a1M1.25_sr0.8_identM_rw15_loPondM","oSOK_HS30-100_HR0.1","HG Herring","JP/S",1,100,0,1,0.455,0.155,0.091,NA,0,NA,10,7.7,55.8,812,81.8,0,0,0,0.002,0.047,0.036,0.06,0.045,32.338,8.417,0.26,7.573,0.237,13.372,0.412
"1175","sim_parBatHGherringGrid39","a1M1.25_sr0.8_identM_rw15_loPondM","oSOK_HS30-100_HR0.1","HG Herring","Lou",1,100,0,1,0.555,0.258,0.164,NA,0,NA,6,1,7.3,106.4,101.4,0,0,0,0.017,0.157,0.05,0.048,0.054,3.738,1.191,0.314,0.939,0.247,1.926,0.51
"1176","sim_parBatHGherringGrid39","a1M1.25_sr0.8_identM_rw15_loPondM","oSOK_HS30-100_HR0.1","HG Herring","aggregate",1,100,0,1,0.536,0.157,0.074,0,0,NA,13,6.7,48.4,703.1,67.3,0,0,0,0.001,0.039,0.045,0.054,0.04,42.593,11.798,0.276,10.279,0.241,18.665,0.437
